ids,growth,status,name,reaction,class
lcl_CP068158_1_prot_QQU78084_1_1217,-7.245917166631262e-15,optimal,aspartate-semialdehyde dehydrogenase [Corynebacterium striatum],R_ASAD,redox reaction
lcl_CP068158_1_prot_QQU76704_1_2271,0.0,optimal,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [Corynebacterium striatum]",R_UAAGDS,biochemical reaction
lcl_CP068158_1_prot_QQU77526_1_568,3.9128353838876024e-14,optimal,FAD-binding protein [Corynebacterium striatum],R_ASPO5,biochemical reaction
lcl_CP068158_1_prot_QQU77526_1_568,3.9128353838876024e-14,optimal,FAD-binding protein [Corynebacterium striatum],R_ASPO6,redox reaction
lcl_CP068158_1_prot_QQU76600_1_2146,-7.099143764149036e-14,optimal,isoprenyl transferase [Corynebacterium striatum],R_IPDPUDCT,biochemical reaction
lcl_CP068158_1_prot_QQU76600_1_2146,-7.099143764149036e-14,optimal,isoprenyl transferase [Corynebacterium striatum],R_UDPDPS,biochemical reaction
lcl_CP068158_1_prot_QQU76600_1_2146,-7.099143764149036e-14,optimal,isoprenyl transferase [Corynebacterium striatum],R_UDPDPS2,biochemical reaction
lcl_CP068158_1_prot_QQU76985_1_2585,1.8848226693815694e-09,optimal,chorismate synthase [Corynebacterium striatum],R_CHORS,cleavage
lcl_CP068158_1_prot_QQU77525_1_567,-4.629845131560213e-11,optimal,carboxylating nicotinate-nucleotide diphosphorylase [Corynebacterium striatum],R_NNDPR,glycosylation
lcl_CP068158_1_prot_QQU77028_1_2637,-1.8877722423316205e-10,optimal,NAD kinase [Corynebacterium striatum],R_NADK,phosphorylation
lcl_CP068158_1_prot_QQU76710_1_2277,-2.346078426947058e-15,optimal,UDP-N-acetylmuramate--L-alanine ligase [Corynebacterium striatum],R_UAMAS,biochemical reaction
lcl_CP068158_1_prot_QQU76392_1_1905,2.798016858014779e-14,optimal,UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Corynebacterium striatum],R_UAGCVT,transfer of a chemical group
lcl_CP068158_1_prot_QQU76313_1_1818,-3.828638357398615e-15,optimal,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Corynebacterium striatum],R_HPPK,biochemical reaction
lcl_CP068158_1_prot_QQU76313_1_1818,-3.828638357398615e-15,optimal,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [Corynebacterium striatum],R_HPPK2,transfer of a chemical group
lcl_CP068158_1_prot_QQU77406_1_431,1.8051602256930066e-12,optimal,isoprenyl transferase [Corynebacterium striatum],R_GRTT,transfer of a chemical group
lcl_CP068158_1_prot_QQU77908_1_1003,1.8847482880344557e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_OXGDC,decarboxylation
lcl_CP068158_1_prot_QQU77908_1_1003,1.8847482880344557e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_SEPHCHCS,transfer of a chemical group
lcl_CP068158_1_prot_QQU77908_1_1003,1.8847482880344557e-09,optimal,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Corynebacterium striatum],R_SHCHCS3,cleavage
lcl_CP068158_1_prot_QQU77762_1_836,-2.3985047473038674e-14,optimal,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT [Corynebacterium striatum],R_PLPS,biochemical reaction
lcl_CP068158_1_prot_QQU75927_1_1397,1.884656916838453e-09,optimal,methylenetetrahydrofolate reductase [Corynebacterium striatum],R_MTHFR2,redox reaction
lcl_CP068158_1_prot_QQU75927_1_1397,1.884656916838453e-09,optimal,methylenetetrahydrofolate reductase [Corynebacterium striatum],R_MTHFR3,redox reaction
lcl_CP068158_1_prot_QQU77181_1_175,3.728560517936657e-14,optimal,pantetheine-phosphate adenylyltransferase [Corynebacterium striatum],R_PTPATi,transfer of a chemical group
lcl_CP068158_1_prot_QQU77911_1_1006,4.926284867099432e-28,optimal,o-succinylbenzoate synthase [Corynebacterium striatum],, 
lcl_CP068158_1_prot_QQU76986_1_2586,0.0,optimal,shikimate kinase [Corynebacterium striatum],R_SHKK,phosphorylation
lcl_CP068158_1_prot_QQU77816_1_904,8.77128227926079e-30,optimal,phosphoglucosamine mutase [Corynebacterium striatum],R_ACGAMPM,isomerisation
lcl_CP068158_1_prot_QQU77816_1_904,8.77128227926079e-30,optimal,phosphoglucosamine mutase [Corynebacterium striatum],R_PGAMT,isomerisation
lcl_CP068158_1_prot_QQU77428_1_458,2.6896432565794795e-14,optimal,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU [Corynebacterium striatum],R_UAGDP,transfer of a chemical group
lcl_CP068158_1_prot_QQU76707_1_2274,9.028081479830015e-14,optimal,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase [Corynebacterium striatum],R_UAMAGS,biochemical reaction
